Bus Number,Bus ID,Bus Capacity,Total Students,Total Distance (km),Estimated Duration (min),Start Time,End Time,Pickup Order,Route Map URL
1,bus_c98d72,45,45,15.89,35.9,07:00,07:35,Cluster 10 → Cluster 11 → Cluster 8 → Cluster 12 → Cluster 6 → Cluster 4 → Cluster 5 → Cluster 9 → Cluster 3 → Cluster 13 → Cluster 7 → Cluster 2 → Cluster 45 → Cluster 0 → Cluster 44 → Cluster 1 → Cluster 16 → Cluster 18 → Cluster 42 → Cluster 22,/download_file/trip_733ad07e/trips/bus_c98d72_route_map.html
2,bus_7d144c,45,45,17.54,43.5,07:00,07:43,Cluster 19 → Cluster 21 → Cluster 20 → Cluster 23 → Cluster 17 → Cluster 14 → Cluster 24 → Cluster 25 → Cluster 15 → Cluster 26 → Cluster 27 → Cluster 28 → Cluster 29 → Cluster 37 → Cluster 33 → Cluster 49 → Cluster 32 → Cluster 43 → Cluster 46 → Cluster 34 → Cluster 31 → Cluster 48 → Cluster 47 → Cluster 40 → Cluster 36 → Cluster 38,/download_file/trip_733ad07e/trips/bus_7d144c_route_map.html
