Bus Number,Bus ID,Bus Capacity,Total Students,Total Distance (km),Estimated Duration (min),Start Time,End Time,Pickup Order,Route Map URL
1,bus_9330dc,45,45,15.89,35.9,07:00,07:35,Cluster 10 → Cluster 11 → Cluster 8 → Cluster 12 → Cluster 6 → Cluster 4 → Cluster 5 → Cluster 9 → Cluster 3 → Cluster 13 → Cluster 7 → Cluster 2 → Cluster 45 → Cluster 0 → Cluster 44 → Cluster 1 → Cluster 16 → Cluster 18 → Cluster 42 → Cluster 22,/download_file/trip_f87d0745/trips/bus_9330dc_route_map.html
2,bus_c0db8d,32,29,14.88,28.9,07:00,07:28,Cluster 19 → Cluster 21 → Cluster 20 → Cluster 23 → Cluster 17 → Cluster 14 → Cluster 24 → Cluster 25 → Cluster 15 → Cluster 26 → Cluster 27 → Cluster 28 → Cluster 29 → Cluster 37,/download_file/trip_f87d0745/trips/bus_c0db8d_route_map.html
3,bus_e7cdec,21,21,13.48,29.5,07:00,07:29,Cluster 48 → Cluster 47 → Cluster 46 → Cluster 49 → Cluster 43 → Cluster 40 → Cluster 41 → Cluster 39 → Cluster 38 → Cluster 36 → Cluster 35 → Cluster 34 → Cluster 33 → Cluster 31 → Cluster 32 → Cluster 30,/download_file/trip_f87d0745/trips/bus_e7cdec_route_map.html
